Date,Machine_ID,Line,Shift,Downtime_Reason,Downtime_Minutes,Production_Rate_Units_Per_Hour,Profit_Per_Unit_USD
2025-02-22,CNC-201,Line B,Night,Tool Change / Wear,33,56,5.56
2025-08-10,CNC-201,Line B,Afternoon,Quality Hold / Inspection,20,55,6.04
2025-04-19,CNC-102,Line A,Night,Changeover / Setup,58,41,7.57
2025-07-31,CNC-101,Line A,Night,Changeover / Setup,33,43,5.85
2025-05-09,CNC-201,Line B,Night,Quality Hold / Inspection,29,55,7.78
2025-01-19,CNC-202,Line B,Night,Preventive Maintenance,79,52,8.1
2025-05-16,CNC-101,Line A,Night,Quality Hold / Inspection,24,43,6.13
2025-09-18,CNC-101,Line A,Morning,Preventive Maintenance,50,41,6.83
2025-10-31,CNC-202,Line B,Night,Tool Change / Wear,19,48,6.02
2025-05-04,CNC-301,Line C,Night,Unplanned Breakdown,113,33,8.19
2025-06-25,CNC-202,Line B,Morning,Tool Change / Wear,42,53,8.95
2025-08-02,CNC-101,Line A,Night,Tool Change / Wear,31,45,6.62
2025-01-08,CNC-102,Line A,Night,Unplanned Breakdown,117,35,6.19
2025-06-14,CNC-101,Line A,Morning,Unplanned Breakdown,116,44,5.63
2025-09-14,CNC-102,Line A,Afternoon,Unplanned Breakdown,62,40,5.51
2025-09-25,CNC-301,Line C,Afternoon,Material Shortage,46,33,5.97
2025-01-28,CNC-102,Line A,Morning,Quality Hold / Inspection,22,41,9.42
2025-11-13,CNC-101,Line A,Morning,Changeover / Setup,44,42,6.8
2025-01-21,CNC-301,Line C,Night,Preventive Maintenance,49,30,6.57
2025-09-29,CNC-301,Line C,Afternoon,Unplanned Breakdown,217,29,5.88
2025-03-31,CNC-201,Line B,Afternoon,Material Shortage,91,57,5.5
2025-04-28,CNC-201,Line B,Night,Operator Break / Shift Change,11,57,8.5
2025-08-27,CNC-102,Line A,Morning,Unplanned Breakdown,143,39,7.99
2025-10-12,CNC-101,Line A,Morning,Tool Change / Wear,30,43,8.5
2025-09-03,CNC-301,Line C,Morning,Material Shortage,48,32,9.17
2025-03-03,CNC-102,Line A,Morning,Changeover / Setup,58,38,7.01
2025-01-22,CNC-101,Line A,Morning,Quality Hold / Inspection,21,45,6.63
2025-02-04,CNC-101,Line A,Afternoon,Operator Break / Shift Change,17,39,7.94
2025-12-19,CNC-301,Line C,Night,Changeover / Setup,46,30,8.93
2025-11-30,CNC-102,Line A,Night,Preventive Maintenance,87,41,7.49
2025-03-04,CNC-201,Line B,Night,Quality Hold / Inspection,36,52,6.15
